PeakID	Annotation
1-143555	promoter
1-30515	enhancer
1-16717	promoter
1-105113	promoter
1-103951	enhancer
1-73087	promoter
1-109998	promoter
1-18242	enhancer
1-134855	promoter
1-48618	promoter
1-136268	enhancer
1-46732	enhancer
1-74989	enhancer
1-129959	promoter
1-61349	promoter
1-5047	promoter
1-93311	enhancer
1-76519	promoter
1-62014	promoter
1-119525	promoter
1-84720	promoter
1-38882	promoter
1-53947	enhancer
1-118913	promoter
1-88046	enhancer
1-82785	enhancer
1-69109	promoter
1-25850	promoter
1-409	enhancer
1-59844	promoter
1-6664	promoter
1-57162	enhancer
1-17988	enhancer
1-12648	enhancer
1-114832	enhancer
1-2486	promoter
1-119935	promoter
1-85064	promoter
1-2455	promoter
1-116883	enhancer
1-20046	enhancer
1-45106	promoter
1-120592	enhancer
1-54699	promoter
1-40238	promoter
1-38301	enhancer
1-55198	promoter
1-18038	promoter
1-24086	promoter
1-116972	enhancer
1-9042	promoter
1-90943	promoter
1-77670	promoter
1-75490	enhancer
1-6468	enhancer
1-41815	promoter
1-38445	promoter
1-49066	promoter
1-137386	enhancer
1-86861	promoter
1-133532	promoter
1-124116	enhancer
1-102734	promoter
1-49554	promoter
1-27132	promoter
1-61556	promoter
1-75760	promoter
1-57009	promoter
1-107412	promoter
1-97021	promoter
1-78851	promoter
1-127002	promoter
1-86150	promoter
1-102988	enhancer
1-132648	promoter
1-43023	promoter
1-143154	promoter
1-99553	enhancer
1-144874	promoter
1-119651	promoter
1-18956	promoter
1-94468	enhancer
1-63520	promoter
1-110939	promoter
1-112381	enhancer
1-59011	enhancer
1-80290	enhancer
1-13794	enhancer
1-53055	promoter
1-102266	promoter
1-143738	promoter
1-70637	promoter
1-35638	promoter
1-21814	promoter
1-96858	promoter
1-46796	promoter
1-72552	promoter
1-123634	enhancer
1-137282	enhancer
1-56368	promoter
1-19916	promoter
1-22902	promoter
1-115907	promoter
1-150268	enhancer
1-26864	enhancer
1-58037	enhancer
1-142851	promoter
1-124704	promoter
1-119167	promoter
1-71267	enhancer
1-31561	enhancer
1-130607	promoter
1-20149	promoter
1-92213	promoter
1-142916	promoter
1-50856	promoter
1-131008	enhancer
1-136887	enhancer
1-184	promoter
1-45051	promoter
1-49308	enhancer
1-121846	promoter
1-50505	enhancer
1-53718	enhancer
1-22506	promoter
1-122347	promoter
1-62192	promoter
1-81951	promoter
1-117668	enhancer
1-137834	promoter
1-119166	promoter
1-71148	enhancer
1-124969	promoter
1-50849	enhancer
1-121952	enhancer
1-32174	promoter
1-25402	promoter
1-33559	enhancer
1-104713	enhancer
1-67090	promoter
1-67014	enhancer
1-84326	enhancer
1-105832	enhancer
1-28747	promoter
1-97812	enhancer
1-32962	promoter
1-39418	promoter
1-30475	enhancer
1-39291	promoter
1-9833	promoter
1-112581	promoter
1-42274	enhancer
1-143098	enhancer
1-44430	promoter
1-9733	promoter
1-60431	enhancer
1-2418	promoter
1-73390	promoter
1-38391	enhancer
1-3932	enhancer
1-76456	promoter
1-25890	promoter
1-126215	enhancer
1-97969	enhancer
1-68376	promoter
1-43538	promoter
1-13061	enhancer
1-4623	promoter
1-137440	enhancer
1-91293	enhancer
1-93594	enhancer
1-65690	enhancer
1-80935	enhancer
1-30580	enhancer
1-31406	enhancer
1-121130	promoter
1-99554	enhancer
1-32526	promoter
1-128196	promoter
1-134511	promoter
1-34384	promoter
1-71694	promoter
1-86532	enhancer
1-44698	promoter
1-113365	promoter
1-46949	promoter
1-103897	promoter
1-117886	enhancer
1-68816	promoter
1-144944	promoter
1-112896	promoter
1-8429	promoter
1-121416	promoter
1-66433	promoter
1-90611	enhancer
1-43194	enhancer
1-143524	enhancer
1-4938	enhancer
1-93135	enhancer
1-44602	promoter
1-80435	promoter
1-77143	enhancer
1-41077	promoter
1-63157	enhancer
1-104571	enhancer
1-37536	promoter
1-71747	enhancer
1-87412	promoter
1-99865	promoter
1-42263	promoter
1-139308	promoter
1-75775	promoter
1-67823	enhancer
1-72641	promoter
1-55064	enhancer
1-133292	enhancer
1-123745	enhancer
1-15211	promoter
1-57664	enhancer
1-55261	enhancer
1-27801	enhancer
1-28194	enhancer
1-48793	promoter
1-118907	promoter
1-659	enhancer
1-21080	promoter
1-19707	promoter
1-59273	promoter
1-114799	promoter
1-16802	promoter
1-92412	enhancer
1-55633	promoter
1-104730	enhancer
1-129217	promoter
1-123639	enhancer
1-79050	promoter
1-25369	promoter
1-26835	enhancer
1-126910	enhancer
1-41733	promoter
1-26746	enhancer
1-133557	promoter
1-139869	enhancer
1-40081	enhancer
1-101332	promoter
1-89154	enhancer
1-93286	promoter
1-72210	promoter
1-75609	enhancer
1-96673	enhancer
1-77916	enhancer
1-21532	promoter
1-122136	enhancer
1-31121	enhancer
1-59762	promoter
1-125390	promoter
1-41338	promoter
1-18	enhancer
1-11108	promoter
1-19774	promoter
1-58130	enhancer
1-118294	enhancer
1-8533	enhancer
1-74228	enhancer
1-74938	enhancer
1-66343	enhancer
1-27120	enhancer
1-96062	promoter
1-92765	enhancer
1-127865	promoter
1-21948	enhancer
1-50761	promoter
1-7885	promoter
1-78926	promoter
1-7465	promoter
1-113135	promoter
1-22592	promoter
1-38592	promoter
1-6431	enhancer
1-40669	promoter
1-60751	enhancer
1-61079	enhancer
1-41521	enhancer
1-102693	promoter
1-116071	promoter
1-87980	promoter
1-107382	promoter
1-39086	promoter
1-55145	promoter
1-77833	promoter
1-55895	promoter
1-47956	enhancer
1-111551	promoter
1-86240	promoter
1-38980	promoter
1-1316	enhancer
1-149223	enhancer
1-144666	enhancer
1-133589	enhancer
1-76165	enhancer
1-105946	promoter
1-143777	enhancer
1-75347	promoter
1-130029	enhancer
1-33704	promoter
1-86599	promoter
1-129206	enhancer
1-123078	promoter
1-56765	promoter
1-78165	promoter
1-118436	enhancer
1-67322	enhancer
1-94777	promoter
1-42742	promoter
1-67900	enhancer
1-95102	enhancer
1-129903	promoter
1-110281	enhancer
1-29348	enhancer
1-129576	enhancer
1-20129	promoter
1-99519	enhancer
1-64064	promoter
1-120770	enhancer
1-147963	enhancer
1-78565	enhancer
1-143157	enhancer
1-79502	promoter
1-132669	enhancer
1-75600	promoter
1-67353	enhancer
1-138027	enhancer
1-21165	enhancer
1-124715	enhancer
1-128275	enhancer
1-9288	promoter
1-81959	promoter
1-90437	enhancer
1-26602	enhancer
1-132644	promoter
1-106065	promoter
1-102786	promoter
1-25283	promoter
1-83985	enhancer
1-84455	enhancer
1-70210	enhancer
1-142155	enhancer
1-64316	enhancer
1-68406	enhancer
1-27944	promoter
1-93643	promoter
1-36599	enhancer
1-30770	enhancer
1-45376	enhancer
1-21947	enhancer
1-72817	promoter
1-76470	promoter
1-133283	enhancer
1-86578	enhancer
1-38549	promoter
1-81823	promoter
1-68160	promoter
1-23567	promoter
1-40751	promoter
1-138447	enhancer
1-107964	promoter
1-69589	enhancer
1-118438	enhancer
1-67687	enhancer
1-44839	promoter
1-51775	enhancer
1-60784	promoter
1-82382	enhancer
1-37944	enhancer
1-125292	enhancer
1-132370	enhancer
1-89847	enhancer
1-29283	promoter
1-50487	enhancer
1-90077	enhancer
1-118443	enhancer
1-14091	promoter
1-54455	promoter
1-92146	enhancer
1-35839	promoter
1-20628	promoter
1-3094	promoter
1-87799	promoter
1-15427	promoter
1-21903	promoter
1-42546	promoter
1-13405	promoter
1-128188	promoter
1-97793	promoter
1-73048	promoter
1-57228	enhancer
1-80875	promoter
1-137954	promoter
1-110017	promoter
1-21436	enhancer
1-61941	promoter
1-134314	promoter
1-127290	enhancer
1-82287	promoter
1-112838	enhancer
1-125464	enhancer
1-7519	promoter
1-149930	promoter
1-125386	promoter
1-94240	promoter
1-116057	enhancer
1-101655	promoter
1-25664	promoter
1-101320	enhancer
1-47601	enhancer
1-33278	enhancer
1-100000	promoter
1-98460	enhancer
1-81985	enhancer
1-143807	promoter
1-140889	promoter
1-145401	promoter
1-135315	promoter
1-34653	enhancer
1-138771	promoter
1-31297	promoter
1-33554	promoter
1-54805	enhancer
1-101876	promoter
1-122277	enhancer
1-86835	enhancer
1-41144	promoter
1-72430	enhancer
1-97560	enhancer
1-9092	promoter
1-57632	enhancer
1-52536	enhancer
1-140888	promoter
1-93784	promoter
1-13732	enhancer
1-70610	promoter
1-129901	promoter
1-89530	promoter
1-13139	promoter
1-75285	enhancer
1-89776	promoter
1-41281	enhancer
1-83606	promoter
1-71684	promoter
1-73051	enhancer
1-109147	promoter
1-48590	promoter
1-122882	promoter
1-60037	promoter
1-48561	enhancer
1-86345	promoter
1-102879	promoter
1-124169	enhancer
1-115924	promoter
1-12397	promoter
1-24298	enhancer
1-92899	promoter
1-131409	promoter
1-113443	enhancer
1-16915	promoter
1-46496	promoter
1-73407	promoter
1-69068	promoter
1-142548	enhancer
1-105767	promoter
1-76900	promoter
1-71048	promoter
1-17133	promoter
1-108951	enhancer
1-84142	enhancer
